categoria,dificultad,puntaje,enunciado,opcion_1,opcion_2,opcion_3,opcion_4,respuesta_correcta
Geografía,Fácil,3,¿Cuál es la capital de Francia?,Londres,Berlin,Paris,Roma,Paris
Geografía,Fácil,3,¿En qué continente está Egipto?,Asia,África,Europa,Oceanía,África
Geografía,Normal,6,¿Qué océano baña las costas de Argentina?,Atlántico,Pacífico,Índico,Ártico,Atlántico
Geografía,Normal,6,¿Cuál es el país más grande del mundo?,Canadá,Estados Unidos,China,Rusia,Rusia
Geografía,Difícil,9,¿Qué cordillera atraviesa América del Sur?,Himalaya,Andes,Alpes,Rocosas,Andes
Geografía,Difícil,9,¿Qué país tiene más islas en el mundo?,Indonesia,Suecia,Japón,Filipinas,Suecia
Geografía,Fácil,3,¿En qué hemisferio está Argentina?,Norte,Sur,Este,Oeste,Sur
Historia,Normal,6,¿Quién pintó la Mona Lisa?,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Claude Monet,Leonardo da Vinci
Historia,Fácil,3,¿En qué año llegó Colón a América?,1492,1500,1600,1400,1492
Historia,Fácil,3,¿Qué guerra dividió Alemania en dos países?,Primera Guerra Mundial,Segunda Guerra Mundial,Guerra Fría,Guerra Civil,Segunda Guerra Mundial
Historia,Normal,6,¿Quién fue el primer presidente de Argentina?,San Martín,Rivadavia,Belgrano,Sarmiento,Rivadavia
Historia,Difícil,9,¿Qué imperio construyó Machu Picchu?,Azteca,Inca,Maya,Romano,Inca
Historia,Difícil,9,¿Quién fue Juana de Arco?,Reina,Esclava,Guerrera,Actriz,Guerrera
Historia,Normal,6,¿Qué muro cayó en 1989?,El muro de Berlín,El muro de China,El muro romano,El muro de Lima,El muro de Berlín
Ciencia,Normal,6,¿Cuál es el planeta más grande de nuestro sistema solar?,Marte,Jupiter,Saturno,Tierra,Jupiter
Ciencia,Fácil,3,¿Qué gas respiramos principalmente?,Nitrógeno,Dióxido de carbono,Oxígeno,Helio,Oxígeno
Ciencia,Fácil,3,¿Cuál es el símbolo químico del agua?,H2O,CO2,O2,NaCl,H2O
Ciencia,Normal,6,¿Cuántos planetas hay en el sistema solar?,7,8,9,10,8
Ciencia,Difícil,9,¿Qué científico propuso la teoría de la relatividad?,Newton,Tesla,Einstein,Galileo,Einstein
Ciencia,Difícil,9,¿Cuál es la unidad básica de la vida?,Átomo,Molécula,Célula,Tejido,Célula
Ciencia,Normal,6,¿Qué parte del cuerpo produce insulina?,Hígado,Páncreas,Riñón,Corazón,Páncreas
Deportes,Fácil,3,¿Cuántos jugadores tiene un equipo de fútbol en la cancha?,9,10,11,12,11
Deportes,Fácil,3,¿En qué deporte se usa una raqueta?,Fútbol,Básquet,Tenis,Golf,Tenis
Deportes,Normal,6,¿Quién ganó el Mundial de fútbol 2022?,Francia,Argentina,Brasil,Alemania,Argentina
Deportes,Normal,6,¿Cuántos puntos vale un triple en básquet?,1,2,3,4,3
Deportes,Difícil,9,¿Qué país organiza los Juegos Olímpicos de 2024?,EEUU,Francia,Japón,China,Francia
